A_lse,B_lse,regularized_A,regularized_B
(-0.040978873968982005+0j),-1.432949408285228,(-0.35457408709123417+0j),-2.639082967218749
(-0.1387222292103881+0j),-1.2884815825600409,(-0.1515402439029251+0j),-2.449084129541845
(-0.23022376781407508+0j),-2.3740076321108363,(-0.2528336610219118+0j),-2.39693594166503
(-0.31254269941504603+0.04544478969073534j),-2.673553298180686,(-0.3374950780177126+0j),-1.4826178104203747
(-0.31254269941504603-0.04544478969073534j),-2.8534290664206243,(-0.351374838971487+0j),-1.9034692889995866
(-0.3377955450773423+0.015410227553858237j),-3.251876184430338,(-0.3660730410741192+0.007207194768658325j),-1.637444519975433
(-0.3377955450773423-0.015410227553858237j),-3.123459945306931,(-0.3660730410741192-0.007207194768658325j),-0.4512042535270516
(-0.2933059667475906+0j),,(-0.37314852114730157+0j),
(-0.30795649712175255+0j),,(-0.3683737707102976+0j),
