tenor,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,24
moneyness,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0,80.0,90.0,95.0,97.5,100.0,102.5,105.0,110.0,120.0
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,-4.779897543693899,-4.811534152102034,-4.554272744449696,-4.283405337742089,-4.135931081719415,-4.561914029286726,-4.11350954180444,-1.9929701936702866,-3.9281185640056684,-4.848021492678317,-4.268639914974017,-3.940932593292395,-3.8064858290033055,-3.7869067076051017,-4.024705951818611,-4.520946575342466,-2.975226924893718,-3.659296126594235,-3.4015117619272566,-3.2214054794520557,-3.0984999527633477,-3.062599763816724,-3.068152621634386,-3.2055046291922533,-3.6801716580066124,-3.4163987246102963,-2.2969153519130856,-2.6326187529522898,-2.6173932451582402,-2.5686876239962224,-2.550383608880491,-2.5019072744449726,-2.467853424657534,-2.587937647614547,-3.1713887576759596,-3.1842482758620676,-1.9839774208786025,-2.0886773736419464,-2.1339682097307495,-2.1580010864430825,-2.089342371280111,-2.046889324515826,-2.089696504487483,-2.2346095418044403,-2.979199763816723,-1.4300537553141233,-1.5746584789796891,-1.6351256495040118,-1.664897638167215,-1.6188054794520568,-1.574544166273025,-1.6231060462919196,-1.7224647614548907,-2.182370571563533,-1.1219623523854523,-1.2521780349551257,-1.291261927255551,-1.3029812470477076,-1.2502687293339676,-1.1841077940481846,-1.2081054794520547,-1.277568162494095,-1.5465351440717985
2016-04-04,-3.8404975436938997,-4.240634152102032,-3.865872744449696,-3.412005337742089,-3.1431310817194156,-3.5915140292867243,-3.6370095418044386,-1.9194701936702874,-3.7242185640056675,-4.1400214926783185,-3.5949399149740167,-3.1095325932923927,-2.895085829003305,-2.7748067076051015,-3.0201059518186106,-3.5506465753424656,-2.817626924893718,-2.1255961265942354,-3.014111761927257,-2.6979054794520536,-2.515599952763349,-2.4400997638167254,-2.3737526216343863,-2.5213046291922527,-3.0074716580066116,-3.1997987246102966,-2.2923153519130857,-2.2398187529522886,-2.1888932451582406,-2.1371876239962226,-2.1043836088804895,-2.0286072744449726,-2.006353424657533,-2.1379376476145477,-2.74438875767596,-2.699048275862067,-1.6974774208786023,-1.7933773736419454,-1.8186682097307525,-1.8356010864430807,-1.7651423712801098,-1.7151893245158263,-1.7552965044874824,-1.93750954180444,-2.672599763816722,-1.215253755314123,-1.3493584789796884,-1.4063256495040122,-1.429697638167216,-1.3623054794520542,-1.3166441662730257,-1.3558060462919208,-1.48416476145489,-1.9333705715635325,-0.9390623523854522,-1.0580780349551269,-1.100061927255549,-1.1214812470477078,-1.039768729333968,-0.9765077940481852,-1.0012054794520573,-1.071068162494095,-1.3267351440717992
2016-04-05,-3.358397543693897,-3.2256341521020353,-2.6861727444496957,-2.202805337742088,-1.876631081719415,-2.147214029286724,-2.992009541804439,-2.0151701936702864,-4.615318564005667,-3.2448214926783194,-2.362139914974019,-1.9346325932923918,-1.7990858290033067,-1.6766067076051012,-1.7819059518186116,-2.521446575342466,-2.608426924893717,-3.4482961265942347,-1.8968117619272569,-1.578005479452056,-1.4566999527633477,-1.4128997638167249,-1.3592526216343863,-1.5121046291922529,-2.0280716580066116,-2.8721987246102962,-2.9266153519130853,-1.4150187529522888,-1.3858932451582398,-1.361087623996223,-1.354983608880488,-1.280407274444972,-1.2516534246575333,-1.3991376476145465,-2.1248887576759596,-2.355648275862068,-1.0835774208786013,-1.2147773736419474,-1.2569682097307506,-1.2853010864430807,-1.1490423712801103,-1.1014893245158248,-1.1539965044874823,-1.365509541804439,-2.192299763816722,-0.713253755314124,-0.8772584789796873,-0.9551256495040121,-1.003497638167218,-0.8118054794520546,-0.7718441662730271,-0.8350060462919195,-0.9630647614548895,-1.4793705715635337,-0.5072623523854531,-0.6369780349551242,-0.700661927255549,-0.7540812470477078,-0.5828687293339669,-0.511007794048183,-0.561205479452056,-0.651068162494095,-0.9482351440717984
2016-04-06,-3.9105975436938962,-4.355634152102034,-3.901672744449698,-3.3395053377420894,-3.1123310817194145,-3.4371140292867253,-3.91010954180444,-2.7398701936702867,-5.340018564005668,-4.126021492678319,-3.355539914974017,-2.9821325932923948,-2.8299858290033058,-2.6974067076051007,-2.9248059518186107,-3.625546575342467,-3.0197269248937175,-4.145496126594235,-2.7237117619272553,-2.473605479452054,-2.4105999527633486,-2.376999763816725,-2.330452621634386,-2.4753046291922534,-3.0509716580066115,-3.383398724610297,-2.922215351913085,-2.0443187529522895,-2.0399932451582394,-2.0118876239962233,-1.9977836088804892,-1.926707274444972,-1.9236534246575339,-2.079637647614547,-2.71088875767596,-2.707348275862067,-1.4738774208786012,-1.6282773736419465,-1.6806682097307508,-1.7176010864430822,-1.6453423712801118,1.3040106754841752,-1.649496504487482,-1.8198095418044389,-2.5529997638167217,-1.0062537553141233,-1.1887584789796897,-1.2490256495040128,-1.2999976381672163,-1.220205479452055,6.745855833726974,-1.22050604629192,-1.3460647614548904,-1.8100705715635321,-0.7658623523854509,-0.9192780349551235,-0.9679619272555513,-1.0078812470477096,-0.8957687293339696,-0.8208077940481822,-0.8542054794520553,-0.9374681624940955,-1.218235144071798
2016-04-07,-2.633897543693898,-2.330334152102033,-1.787072744449695,-1.3970053377420903,-1.1922310817194148,-1.8687140292867248,-3.020209541804439,-2.7132701936702865,-5.138918564005667,-2.494421492678317,-1.5859399149740199,-1.2703325932923946,-1.1367858290033048,-1.1253067076051018,-1.5241059518186102,-2.415246575342467,-2.9607269248937182,-2.7112961265942346,-1.2488117619272572,-0.9675054794520541,-0.8914999527633469,-0.8744997638167256,-0.9019526216343863,-1.1853046291922524,-1.840371658006612,-3.0885987246102964,-2.285315351913086,-0.8806187529522909,-0.8786932451582423,-0.8724876239962214,-0.8757836088804893,-0.8700072744449727,-0.9053534246575339,-1.0672376476145473,-1.8699887576759604,-2.740848275862067,-0.6246774208786015,-0.7741773736419439,-0.8372682097307518,-0.8744010864430827,-0.8184423712801099,-0.7779893245158256,-0.826696504487483,-1.019409541804439,-1.932799763816723,-0.3346537553141218,-0.5114584789796872,-0.5950256495040129,-0.6226976381672173,-0.5193054794520542,-0.4585441662730254,-0.5011060462919197,-0.6382647614548898,-1.1617705715635331,-0.1836623523854506,-0.3250780349551263,-0.38796192725554945,-0.41798124704770956,-0.2945687293339674,-0.20810779404818192,-0.22050547945205778,-0.3109681624940954,-0.6353351440717976
2016-04-08,-3.0110975436939,-3.0118341521020326,-2.580872744449696,-2.215105337742088,-2.013031081719415,-2.710114029286725,-3.75450954180444,-2.8027701936702876,-5.4029185640056685,-3.0820214926783187,-2.1805399149740197,-1.8578325932923931,-1.7557858290033046,-1.7349067076051021,-2.14910595181861,-3.084446575342467,-3.175026924893718,-3.8163961265942348,-1.7582117619272566,-1.4622054794520558,-1.4082999527633469,-1.394599763816725,-1.411552621634387,-1.6794046291922538,-2.4011716580066125,-3.441598724610296,-3.9375153519130848,-1.1948187529522905,-1.206293245158239,-1.2047876239962214,-1.2253836088804881,-1.1755072744449713,-1.2024534246575342,-1.4025376476145475,-2.210488757675959,-2.916548275862068,-0.8445774208786005,-1.003077373641947,-1.0653682097307495,-1.0985010864430826,-1.0310423712801118,-0.9970893245158265,-1.0498965044874815,-1.2447095418044398,-2.0613997638167216,-0.5199537553141234,-0.6917584789796862,-0.7878256495040148,-0.8358976381672178,-0.7446054794520549,-0.7145441662730256,-0.7594060462919217,-0.8938647614548909,-1.3692705715635327,-0.36836235238545356,-0.5152780349551236,-0.5841619272555505,-0.6215812470477076,-0.5210687293339689,-0.45840779404818477,-0.4916054794520548,-0.5757681624940965,-0.8507351440717983
2016-04-11,-2.5932975436939003,-2.5354341521020345,-1.8545727444496976,-1.4866053377420876,-2.409331081719415,-1.6832140292867255,-2.8763095418044387,-1.8986701936702879,-4.339918564005668,-2.522821492678318,-1.6460399149740184,-1.3044325932923932,-1.1938858290033068,-1.1521067076051015,-1.4237059518186115,-2.344646575342466,-2.6286269248937177,-2.4516961265942356,-1.285911761927256,-1.012405479452056,-0.9314999527633461,-0.9167997638167229,-0.9366526216343871,-1.1244046291922523,-1.8357716580066121,-3.196198724610296,-2.911015351913086,-0.9061187529522883,-0.8788932451582419,-0.8668876239962238,-0.8749836088804912,-0.7896072744449718,-0.7862534246575343,-0.9842376476145471,-1.8854887576759598,-2.7044482758620667,-0.6057774208786029,-0.7414773736419455,-0.7945682097307518,-0.8097010864430807,-0.7599423712801112,-0.7199893245158258,-0.7765965044874825,-0.9881095418044392,-1.8992997638167228,-0.34625375531412317,-0.5033584789796883,-0.5653256495040146,-0.5978976381672148,-0.5600054794520553,-0.5321441662730244,-0.5777060462919188,-0.7068647614548897,-1.2188705715635333,-0.22506235238545003,-0.3490780349551237,-0.39106192725554934,-0.41278124704770747,-0.3664687293339668,-0.3123077940481842,-0.33910547945205494,-0.4166681624940942,-0.6753351440717985
