A_lse,B_lse,regularized_A,regularized_B
(-0.040978531931609274+0j),-1.4329580894370038,(-0.3620018980370595+0j),-2.5839812684504206
(-0.13872141703054144+0j),-1.2884898640761822,(-0.05887295986470881+0j),-2.4032135094989613
(-0.23022179029452702+0j),-2.374019790087156,(-0.24657913061856784+0j),-2.357575336051608
(-0.3125412821545669+0.04544346036038776j),-2.673563116268643,(-0.3107785492319857+0j),-1.4579113120300913
(-0.3125412821545669-0.04544346036038776j),-2.8534414584396273,(-0.3579760844960268+0j),-1.8704885997178873
(-0.33779397873907+0.015409688025380541j),-3.2518949577053604,(-0.370122336577803+0.007774701228846852j),-1.626277294934595
(-0.33779397873907-0.015409688025380541j),-3.1234706428259744,(-0.370122336577803-0.007774701228846852j),-0.46230124944431406
(-0.2933047845474969+0j),,(-0.3809345639502313+0j),
(-0.3079551836515194+0j),,(-0.37640742020629997+0j),
