h,MAR(1),regularized_MAR,VanillaLSTM,ResidualLSTM
1,1.105445687972379,1.1303659236188504,1.7774022785765706,1.2121824897481472
14,9.777956108586462,8.945845581029028,10.097685716715208,9.202650541808907
30,55.92558494151413,15.036956136452794,17.173360517273988,15.523358920391392
90,854701.9036394429,22.81265437661696,26.112363945289705,24.024707374474
180,47233162077444.055,24.00692294271226,37.4356504125437,29.97172948348079
365,4.171993896798906e+28,24.47785312950405,43.63190005175333,39.58782323599525
